Neighborhood,crime_count
CARROLL-SOUTH HILTON,1291
CHERRY HILL,8927
CLIFTON PARK,1283
CONCERNED CITIZENS OF FOREST PARK,1000
CURTIS BAY,4684
CYLBURN,1881
DOWNTOWN,22854
DRUID HEIGHTS,2676
EDMONDSON VILLAGE,2457
EDNOR GARDENS-LAKESIDE,3994
EVERGREEN LAWN,867
EVESHAM PARK,425
FALLSTAFF,2095
GARWYN OAKS,1085
GROVE PARK,1305
GWYNNS FALLS,1600
HANLON-LONGWOOD,2478
HIGHLANDTOWN,4520
HOPKINS BAYVIEW,957
HUNTING RIDGE,1189
INNER HARBOR,8016
JONESTOWN,2972
KESWICK,186
LAKE WALKER,935
LAURAVILLE,2480
LOWER EDMONDSON VILLAGE,546
MADISON-EASTEND,2659
MAYFIELD,602
MORGAN STATE UNIVERSITY,359
MOUNT WASHINGTON,1580
NORTH HARFORD ROAD,2989
NORTHWEST COMMUNITY ACTION,1883
OLD GOUCHER,1917
OLIVER,5410
ORANGEVILLE INDUSTRIAL AREA,601
PARKSIDE,1698
PARKVIEW/WOODBROOK,1838
PATTERSON PARK,627
PATTERSON PLACE,1775
PENN NORTH,4161
PENROSE/FAYETTE STREET OUTREACH,4543
PULASKI INDUSTRIAL AREA,4902
SAINT JOSEPHS,1873
SETON BUSINESS PARK,978
SHARP-LEADENHALL,1126
SOUTH BALTIMORE,2161
UNIVERSITY OF MARYLAND,2005
VIOLETVILLE,2479
WAKEFIELD,1089
WALBROOK,2743
WASHINGTON HILL,4161
WESTPORT,1977
WOODBOURNE-MCCABE,872
WYNDHURST,392
YALE HEIGHTS,1658
