X,Y,OBJECTID,Block,Lot,PermitNum,VBN,DateIssue,DateIssued,ExistingUse,ProposedUse,HousingMarketTypology2017,Council_District,Neighborhood,BLOCKLOT,Address
1411570.9983958,588061.848077983,7,0702,050,BUSE-25-004083,Y,2025/12/22 00:00:00+00,Dec 22 2025 12,Single Family Dwelling,Single Family Dwelling,J,9,Carrollton Ridge,0702 050,2113 WILKENS AVE
1411621.02027738,588083.607548892,11,0702,054,USE2017-53053,Y,2018/01/26 14:30:02+00,Jan 26 2018  2,1-08,1-08,J,9,Carrollton Ridge,0702 054,2105 WILKENS AVE
1412009.59266298,588243.692202479,17,0703,003,USE2016-04684,Y,2017/02/15 13:22:21+00,Feb 15 2017  1,SF,SF,J,9,Carrollton Ridge,0703 003,2005 WILKENS AVE
1411996.41847672,588238.766687393,18,0703,004,USE2018-56446,Y,2019/06/14 15:30:05+00,Jun 14 2019  3,1-08,1-08,J,9,Carrollton Ridge,0703 004,2007 WILKENS AVE
1411970.85651997,588228.203388304,20,0703,006,USE2018-52199,Y,2018/07/12 15:00:05+00,Jul 12 2018  3,1-08,1-08,J,9,Carrollton Ridge,0703 006,2011 WILKENS AVE
1411932.61742322,588211.727043316,23,0703,009,USE2019-52486,Y,2019/07/12 15:30:07+00,Jul 12 2019  3,1-08,1-08,J,9,Carrollton Ridge,0703 009,2017 WILKENS AVE
1411893.53974546,588195.505619064,26,0703,012,USE2015-01306,Y,2015/05/14 00:00:00+00,May 14 2015 12,SF,SF,J,9,Carrollton Ridge,0703 012,2023 WILKENS AVE
1411868.64576639,588183.202494055,28,0703,014,USE2023-51275,Y,2023/03/10 00:00:00+00,Mar 10 2023 12,1-08,1-08,J,9,Carrollton Ridge,0703 014,2027 WILKENS AVE
1411777.97140706,588144.577243224,35,0703,021,USE2018-53867,Y,2018/08/07 15:00:05+00,Aug  7 2018  3,1-08,1-08,J,9,Carrollton Ridge,0703 021,2041 WILKENS AVE
1411870.08670838,588072.398253724,47,0703,034,USE2019-54792,Y,2019/10/15 15:30:10+00,Oct 15 2019  3,1-08,1-08,J,9,Carrollton Ridge,0703 034,2026 EAGLE ST
1411957.23679656,588111.030066222,55,0703,042,USE2023-54613,Y,2023/09/12 00:00:00+00,Sep 12 2023 12,7-03,1-08,J,9,Carrollton Ridge,0703 042,2010 EAGLE ST
1411980.40407306,588121.226568148,57,0703,044,USE2024-53562,Y,2024/07/17 00:00:00+00,Jul 17 2024 12,7-03,1-08,J,9,Carrollton Ridge,0703 044,2006 EAGLE ST
1411992.75148931,588125.760351732,58,0703,045,USE2024-54704,Y,2024/09/13 00:00:00+00,Sep 13 2024 12,1-08,1-08,J,9,Carrollton Ridge,0703 045,2004 EAGLE ST
1412724.39372681,588576.895276234,90,0705,008,USE2018-52098,Y,2018/04/20 08:30:02+00,Apr 20 2018  8,1-08,1-08,I,9,Carrollton Ridge,0705 008,1817 WILKENS AVE
1413069.66272131,588713.730960563,110,0706,013,USE2024-51472,Y,2024/04/02 00:00:00+00,Apr  2 2024 12,1-08,1-08,I,9,Mount Clare,0706 013,1725 WILKENS AVE
1413006.74847706,588599.540244058,129,0706,034,USE2023-52371,Y,2023/05/24 00:00:00+00,May 24 2023 12,1-08,1-08,I,9,Mount Clare,0706 034,1718 COLE ST
1425058.60462263,590323.585024312,144,1414,033,USE2016-05411,Y,2016/12/13 09:44:36+00,Dec 13 2016  9,MF,MF,B,12,Little Italy,1414 033,907 STILES ST
1420909.84487556,585704.800954804,167,0976,097,USE2016-05310,Y,2016/12/01 16:00:25+00,Dec  1 2016  4,SF,SF,B,11,South Baltimore,0976 097,110 BURNETT ST
1421465.46745197,585595.577091888,179,0977,006,USE2015-02612,Y,2015/06/19 00:00:00+00,Jun 19 2015 12,VAC,SF,B,11,South Baltimore,0977 006,1330 S CHARLES ST
1425268.34337638,590021.988842726,263,1423,016,USE2022-53133,Y,2022/05/10 00:00:00+00,May 10 2022 12,3-50,1-07,B,12,Little Italy,1423 016,906 TRINITY ST
1430735.87870114,592461.725104973,356,1726,010,USE2018-53409,Y,2018/07/05 08:00:07+00,Jul  5 2018  8,1-08,1-08,B,13,Patterson Park Neighborhood,1726 010,19 N MILTON AVE
1415439.89059238,590115.833799392,396,0250,052,USE2024-50911,Y,2024/03/05 00:00:00+00,Mar  5 2024 12,1-08,1-08,F,9,Hollins Market,0250 052,1113 W LOMBARD ST
1415359.53248538,589965.19171223,442,0250,091,USE2023-51539,Y,2023/10/20 00:00:00+00,Oct 20 2023 12,1-08,1-08,F,9,Hollins Market,0250 091,120 S CARLTON ST
1415905.62391289,590162.450175971,448,0251,002,USE2014-01362,Y,2015/08/25 00:00:00+00,Aug 25 2015 12,VAC,SF,F,9,Hollins Market,0251 002,1005 W LOMBARD ST
1411591.28805339,589384.880864978,455,0258,061,USE2021-51751,Y,2021/10/22 00:00:00+00,Oct 22 2021 12,1-08,1-08,J,9,Carrollton Ridge,0258 061,212 HARMISON ST
1422749.52033006,585615.792602643,586,0998,064,USE2019-56366,Y,2020/01/29 00:00:00+00,Jan 29 2020 12,7-02,1-08,B,11,Riverside,0998 064,1401 WILLIAM ST
1413564.68469714,589260.21936889,673,0277,006,USE2017-52273,Y,2017/09/11 15:00:02+00,Sep 11 2017  3,1-08,1-08,J,9,Mount Clare,0277 006,310 S GILMOR ST
1413559.34579705,589159.782889977,680,0277,014,BUSE-25-005717,Y,2026/01/16 00:00:00+00,Jan 16 2026 12,Dwelling: Rowhouse,Single Family Dwelling,J,9,Mount Clare,0277 014,326 S GILMOR ST
1410762.57514389,588473.447320387,689,0288,082,USE2015-04468,Y,2015/12/21 00:00:00+00,Dec 21 2015 12,VAC,SF,J,9,Carrollton Ridge,0288 082,431 S BENTALOU ST
1413785.67736539,589099.326317981,737,0279,085,USE2015-02604,Y,2016/04/15 00:00:00+00,Apr 15 2016 12,VAC,SF,I,9,Mount Clare,0279 085,328 S PARRISH ST
1410834.20492189,588624.095313057,740,0288,055,BUSE-25-002992,Y,2025/08/20 00:00:00+00,Aug 20 2025 12,Vacant House/Building/Structure,Dwelling: Semi-Detached,J,9,Carrollton Ridge,0288 055,422 FURROW ST
1413785.53694572,589111.723602891,741,0279,086,USE2015-02601,Y,2016/04/15 00:00:00+00,Apr 15 2016 12,VAC,SF,I,9,Mount Clare,0279 086,326 S PARRISH ST
1413782.58288339,589172.588966727,746,0279,091,USE2017-50172,Y,2017/04/06 07:30:02+00,Apr  6 2017  7,SF,SF,I,9,Mount Clare,0279 091,316 S PARRISH ST
1414360.88782914,589337.850775316,756,0280,003,USE2024-56414,Y,2025/01/27 00:00:00+00,Jan 27 2025 12,1-08,1-08,I,9,Mount Clare,0280 003,304 S CALHOUN ST
1414361.61453372,589325.035184145,760,0280,004,USE2018-54280,Y,2018/08/24 15:30:03+00,Aug 24 2018  3,1-08,1-08,I,9,Mount Clare,0280 004,306 S CALHOUN ST
1414363.95114322,589273.245589554,764,0280,008,USE2018-56451,Y,2019/04/16 15:30:04+00,Apr 16 2019  3,1-08,1-08,I,9,Mount Clare,0280 008,314 S CALHOUN ST
1414367.4337478,589208.2096304,769,0280,013,USE2022-54016,Y,2023/11/08 00:00:00+00,Nov  8 2023 12,1-08,1-08,I,9,Mount Clare,0280 013,324 S CALHOUN ST
1410835.95688689,588586.257790312,777,0288,058,USE2024-56297,Y,2024/12/05 00:00:00+00,Dec  5 2024 12,1-08,1-08,J,9,Carrollton Ridge,0288 058,428 FURROW ST
1414379.60826413,589078.324391484,782,0280,023,USE2024-55945,Y,2024/11/29 00:00:00+00,Nov 29 2024 12,1-08,1-08,I,9,Mount Clare,0280 023,344 S CALHOUN ST
1414380.31233098,589054.321486726,784,0280,025,BUSE-25-005700,Y,2025/11/19 00:00:00+00,Nov 19 2025 12,Dwelling: Rowhouse,Dwelling: Rowhouse,I,9,Mount Clare,0280 025,348 S CALHOUN ST
1414327.1779228,589079.634428233,787,0280,028,USE2021-52801,Y,2021/07/24 00:00:00+00,Jul 24 2021 12,1-08,1-08,I,9,Mount Clare,0280 028,1402 RAMSAY ST
1420376.71175547,586480.589757562,821,0946,055,USE2018-53233,Y,2018/06/25 12:30:03+00,Jun 25 2018 12,1-08,1-08,C,11,Sharp-Leadenhall,0946 055,1122 LEADENHALL ST
1417835.06493589,587529.148027897,843,0938,001,USE2023-51773,Y,2023/05/03 00:00:00+00,May  3 2023 12,1-08,1-08,E,10,Washington Village/Pigtown,0938 001,741 W CROSS ST
1417717.02416147,587607.115391642,853,0938,011,USE2019-55328,Y,2019/11/04 15:30:13+00,Nov  4 2019  3,1-08,1-08,E,10,Washington Village/Pigtown,0938 011,761 W CROSS ST
1417607.08048372,587632.011011139,862,0938,017,USE2015-00956,Y,2015/03/24 00:00:00+00,Mar 24 2015 12,SF,SF,E,10,Washington Village/Pigtown,0938 017,773 W CROSS ST
1417583.04837956,587642.50049147,864,0938,019,USE2022-54793,Y,2023/04/21 00:00:00+00,Apr 21 2023 12,1-08,1-08,E,10,Washington Village/Pigtown,0938 019,777 W CROSS ST
1413369.09617755,588625.740322888,928,0707,029,USE2020-53594,Y,2020/10/14 00:00:00+00,Oct 14 2020 12,7-03,1-08,I,9,Mount Clare,0707 029,1628 COLE ST
1413355.88819872,588621.171762481,929,0707,030,USE2020-53595,Y,2020/11/09 00:00:00+00,Nov  9 2020 12,1-08,1-08,I,9,Mount Clare,0707 030,1630 COLE ST
1413602.12458289,588648.570657805,936,0707,015,USE2018-55486,Y,2018/12/28 15:00:10+00,Dec 28 2018  3,1-08,1-08,I,9,Mount Clare,0707 015,432 S GILMOR ST
1413480.0870973,588623.887636304,948,0707,027,USE2024-53292,Y,2024/08/01 00:00:00+00,Aug  1 2024 12,1-08,1-08,I,9,Mount Clare,0707 027,1614 COLE ST
1413342.86985205,588620.682590231,949,0707,031,USE2021-51102,Y,2021/06/29 00:00:00+00,Jun 29 2021 12,1-08,1-08,I,9,Mount Clare,0707 031,1632 COLE ST
1413303.89781713,588619.132068396,952,0707,034,USE2017-51968,Y,2017/08/03 15:00:04+00,Aug  3 2017  3,1-08,1-08,I,9,Mount Clare,0707 034,1638 COLE ST
1413332.26619872,588706.149610892,956,0707,038,USE2023-54989,Y,2023/10/03 00:00:00+00,Oct  3 2023 12,1-08,1-08,I,9,Mount Clare,0707 038,409 S MOUNT ST
1413330.08936581,588756.877199724,960,0707,042,USE2024-51788,Y,2024/06/17 00:00:00+00,Jun 17 2024 12,1-08,1-08,I,9,Mount Clare,0707 042,401 S MOUNT ST
1413468.08055964,588880.667634562,977,0707,055,USE2019-51405,Y,2019/05/22 15:00:03+00,May 22 2019  3,7-03,1-08,I,9,Mount Clare,0707 055,1623 RAMSAY ST
1412844.8757693,588202.480998814,988,0711,010,USE2019-50375,Y,2020/01/08 00:00:00+00,Jan  8 2020 12,1-08,1-08,I,9,Carrollton Ridge,0711 010,1800 EAGLE ST
1413493.94500922,588800.269829482,995,0707,069,USE2015-00372,Y,2016/03/22 00:00:00+00,Mar 22 2016 12,SF,SF,I,9,Mount Clare,0707 069,405 S VINCENT ST
1413495.47650222,588775.772175059,997,0707,071,USE2024-55546,Y,2024/11/04 00:00:00+00,Nov  4 2024 12,1-08,1-08,I,9,Mount Clare,0707 071,409 S VINCENT ST
1413496.41908564,588752.060936391,999,0707,073,USE2020-50053,Y,2021/09/22 00:00:00+00,Sep 22 2021 12,1-08,1-08,I,9,Mount Clare,0707 073,413 S VINCENT ST
1412833.4683118,588201.277917221,1005,0711,011,USE2019-50376,Y,2020/01/08 00:00:00+00,Jan  8 2020 12,1-08,1-08,I,9,Carrollton Ridge,0711 011,1802 EAGLE ST
1412821.35481897,588200.859939054,1006,0711,012,USE2019-50377,Y,2020/01/08 00:00:00+00,Jan  8 2020 12,1-08,1-08,I,9,Carrollton Ridge,0711 012,1804 EAGLE ST
1412810.0864688,588200.174244896,1007,0711,013,USE2019-50378,Y,2020/01/08 00:00:00+00,Jan  8 2020 12,1-08,1-08,I,9,Carrollton Ridge,0711 013,1806 EAGLE ST
1413416.14660838,588722.947477564,1013,0707,083,USE2023-52733,Y,2023/06/14 00:00:00+00,Jun 14 2023 12,7-03,1-08,I,9,Mount Clare,0707 083,410 S VINCENT ST
1412701.23498046,588211.102372646,1028,0711,018,USE2024-52427,Y,2024/09/11 00:00:00+00,Sep 11 2024 12,1-08,1-08,I,9,Carrollton Ridge,0711 018,1826 EAGLE ST
1413713.62731263,588898.42252031,1040,0708,022,USE2017-54693,Y,2018/01/09 15:00:03+00,Jan  9 2018  3,1-08,1-08,I,9,Mount Clare,0708 022,1543 RAMSAY ST
1413702.00692905,588898.15742898,1041,0708,023,USE2018-55363,Y,2018/12/07 14:30:06+00,Dec  7 2018  2,1-08,1-08,I,9,Mount Clare,0708 023,1545 RAMSAY ST
1426096.46114272,592176.074429557,1116,1343,041,USE2017-50781,Y,2017/07/07 14:00:01+00,Jul  7 2017  2,SF,SF,C,12,Washington Hill,1343 041,1413 E FAIRMOUNT AVE
1426521.06363997,592082.115627974,1158,1345,007,USE2024-51043,Y,2024/03/07 00:00:00+00,Mar  7 2024 12,1-08,1-08,C,12,Washington Hill,1345 007,1512 E BALTIMORE ST
1426620.53686622,592080.027377561,1161,1345,011,BUSE-25-003228,Y,2025/12/12 00:00:00+00,Dec 12 2025 12,Single Family Dwelling,Single Family Dwelling,C,12,Washington Hill,1345 011,1520 E BALTIMORE ST
1421032.84987889,596792.343084142,1188,0466,038,USE2018-53392,Y,2018/09/28 14:30:04+00,Sep 28 2018  2,1-07,1-07,A,12,Mid-Town Belvedere,0466 038,2 E PRESTON ST
1421700.67793955,596838.793778643,1198,0467,008,USE2016-01579,Y,2016/06/03 00:00:00+00,Jun  3 2016 12,VAC,MF,A,12,Mid-Town Belvedere,0467 008,1300 N CALVERT ST
1419198.8650298,593655.198111728,1247,0547B,060,USE2019-56040,Y,2019/12/27 11:30:21+00,Dec 27 2019 11,1-08,1-08,E,11,Seton Hill,0547B060,613 N PACA ST
1419377.68225747,593569.437128395,1265,0547B,076,USE2021-54511,Y,2021/10/01 00:00:00+00,Oct  1 2021 12,1-08,1-08,E,11,Seton Hill,0547B076,404 GEORGE ST
1422694.91676472,591227.500211224,1317,1349,002,USE2024-50093,Y,2024/02/26 00:00:00+00,Feb 26 2024 12,3-52,3-52,B,11,Downtown,1349 002,401 E BALTIMORE ST
1427100.94272955,590869.999285817,1410,1419,093,USE2015-04516,Y,2015/11/25 00:00:00+00,Nov 25 2015 12,VAC,SF,C,12,Fells Point,1419 093,227 S BETHEL ST
1425832.30517498,590376.609852642,1481,1425,028,USE2019-00031,Y,2019/01/08 09:30:04+00,Jan  8 2019  9,1-08,1-08,C,12,Little Italy,1425 028,311 S CENTRAL AVE
1427249.10450672,590386.145266637,1500,1428,035,USE2017-53172,Y,2017/10/16 08:00:01+00,Oct 16 2017  8,1-07,1-07,C,12,Fells Point,1428 035,316 S BROADWAY 
1427139.34718031,590439.213073894,1517,1428,075,USE2017-51508,Y,2017/07/07 15:00:02+00,Jul  7 2017  3,1-08,1-08,C,12,Fells Point,1428 075,303 S BETHEL ST
1422402.46754648,598029.593234316,1538,1110,032,BUSE-25-001577,Y,2025/09/11 00:00:00+00,Sep 11 2025 12,Single Family Dwelling,Single Family Dwelling,E,12,Greenmount West,1110 032,342 E FEDERAL ST
1422619.6455898,598034.266125232,1587,1111,008,BUSE-25-006499,Y,2026/02/02 00:00:00+00,Feb  2 2026 12,Single Family Dwelling,Single Family Dwelling,E,12,Greenmount West,1111 008,414 E FEDERAL ST
1422646.29054964,598035.748405725,1589,1111,010,USE2016-02819,Y,2016/07/14 09:34:26+00,Jul 14 2016  9,SF,SF,E,12,Greenmount West,1111 010,418 E FEDERAL ST
1422750.92518289,598041.61289531,1596,1111,017,USE2016-04869,Y,2016/11/15 15:44:08+00,Nov 15 2016  3,SF,SF,E,12,Greenmount West,1111 017,432 E FEDERAL ST
1422774.66824564,598042.959349304,1598,1111,019,USE2016-05477,Y,2016/11/30 12:14:24+00,Nov 30 2016 12,SF,SF,E,12,Greenmount West,1111 019,436 E FEDERAL ST
1425057.40974313,598175.05226098,1600,1114,009,USE2021-55810,Y,2022/01/12 00:00:00+00,Jan 12 2022 12,1-08,1-08,G,12,Oliver,1114 009,1216 E FEDERAL ST
1425069.97435056,598175.64871648,1601,1114,010,USE2021-54722,Y,2022/05/10 00:00:00+00,May 10 2022 12,1-08,1-08,G,12,Oliver,1114 010,1218 E FEDERAL ST
1425095.79155613,598176.87377964,1603,1114,012,USE2017-52413,Y,2017/09/05 14:30:04+00,Sep  5 2017  2,7-03,1-08,G,12,Oliver,1114 012,1222 E FEDERAL ST
1422832.71701406,598046.217544898,1607,1111,024,USE2017-01161,Y,2017/03/27 13:27:42+00,Mar 27 2017  1,SF,SF,E,12,Greenmount West,1111 024,446 E FEDERAL ST
1422844.13792297,598046.847464889,1608,1111,025,USE2017-53800,Y,2017/11/06 14:00:01+00,Nov  6 2017  2,1-08,1-08,E,12,Greenmount West,1111 025,448 E FEDERAL ST
1422878.63063614,598048.784468889,1611,1111,028,USE2016-04870,Y,2018/03/02 10:47:01+00,Mar  2 2018 10,SF,SF,E,12,Greenmount West,1111 028,454 E FEDERAL ST
1422902.42848881,598050.126657814,1613,1111,030,BUSE-25-001437,Y,2025/05/29 00:00:00+00,May 29 2025 12,Dwelling: Rowhouse,Dwelling: Rowhouse,E,12,Greenmount West,1111 030,458 E FEDERAL ST
1424900.63741888,598154.841343388,1621,1114,016,USE2015-01250,Y,2015/06/10 00:00:00+00,Jun 10 2015 12,VAC,SF,G,12,Oliver,1114 016,1603 AISQUITH ST
1424900.51143488,598167.804572061,1622,1114,017,USE2022-53351,Y,2022/11/28 00:00:00+00,Nov 28 2022 12,1-08,1-08,G,12,Oliver,1114 017,1605 AISQUITH ST
1422773.58458638,598118.00972414,1631,1111,044,USE2016-04089,Y,2016/09/02 09:24:42+00,Sep  2 2016  9,VAC,SF,E,12,Greenmount West,1111 044,437 PITMAN PL
1424897.59936722,598218.601386473,1640,1114,020,BUSE-25-001788,Y,2025/05/16 00:00:00+00,May 16 2025 12,Dwelling: Rowhouse,Dwelling: Rowhouse,G,12,Oliver,1114 020,1613 AISQUITH ST
1424896.97207189,598234.688952729,1641,1114,021,USE2015-01248,Y,2015/04/16 00:00:00+00,Apr 16 2015 12,VAC,SF,G,12,Oliver,1114 021,1615 AISQUITH ST
1426657.26251456,592257.329516396,1647,1345,027,USE2021-52619,Y,2021/06/03 00:00:00+00,Jun  3 2021 12,1-08,1-08,C,12,Washington Hill,1345 027,24 N BOND ST
1428171.92418338,599122.534289896,1656,1448,018,BUSE-25-005195,Y,2025/11/28 00:00:00+00,Nov 28 2025 12,Single Family Dwelling,Single Family Dwelling,I,12,Broadway East,1448 018,1934 E LAFAYETTE AVE
1428185.80867006,599123.097608984,1657,1448,019,USE2020-55931,Y,2021/01/06 00:00:00+00,Jan  6 2021 12,1-08,1-08,I,12,Broadway East,1448 019,1936 E LAFAYETTE AVE
1428168.40877047,599192.11420323,1660,1448,022,USE2024-55159,Y,2024/11/21 00:00:00+00,Nov 21 2024 12,1-08,1-08,I,12,Broadway East,1448 022,1802 N WASHINGTON ST
1428158.62598164,599378.728659391,1675,1448,034,USE2015-04786,Y,2016/01/15 00:00:00+00,Jan 15 2016 12,VAC,SF,I,12,Broadway East,1448 034,1826 N WASHINGTON ST
1428157.94783339,599392.442214638,1676,1448,035,USE2024-53243,Y,2024/08/22 00:00:00+00,Aug 22 2024 12,1-08,1-08,I,12,Broadway East,1448 035,1828 N WASHINGTON ST
1427926.32723364,599490.384275973,1704,1448,057,BUSE-25-004560,Y,2025/10/21 00:00:00+00,Oct 21 2025 12,Dwelling: Rowhouse,Dwelling: Rowhouse,J,12,Broadway East,1448 057,1905 E NORTH AVE
1427913.05134155,599489.618857563,1705,1448,058,USE2024-55536,Y,2024/10/28 00:00:00+00,Oct 28 2024 12,1-08,1-08,J,12,Broadway East,1448 058,1903 E NORTH AVE
1427929.89317138,599418.502858058,1708,1448,061,USE2019-53439,Y,2020/11/05 00:00:00+00,Nov  5 2020 12,1-08,1-08,J,12,Broadway East,1448 061,1835 N WOLFE ST
1427934.4164563,599337.544686645,1717,1448,067,USE2016-02886,Y,2016/06/30 11:25:30+00,Jun 30 2016 11,SF,SF,J,12,Broadway East,1448 067,1823 N WOLFE ST
1427937.16546655,599287.855153471,1719,1448,069,USE2017-54282,Y,2017/12/21 15:00:03+00,Dec 21 2017  3,7-03,1-08,J,12,Broadway East,1448 069,1819 N WOLFE ST
1422561.10502447,598106.096034065,1751,1111,059,BUSE-25-005155,Y,2025/10/22 00:00:00+00,Oct 22 2025 12,Single Family Dwelling,Single Family Dwelling,E,12,Greenmount West,1111 059,407 PITMAN PL
1424895.30311197,598266.62360014,1759,1114,023,USE2014-02467,Y,2015/02/25 00:00:00+00,Feb 25 2015 12,VAC,SF,G,12,Oliver,1114 023,1619 AISQUITH ST
1422731.09779473,598221.628283307,1772,1111,078,USE2022-55248,Y,2022/12/16 00:00:00+00,Dec 16 2022 12,1-08,1-08,E,12,Greenmount West,1111 078,430 PITMAN PL
1422742.64337531,598222.269030064,1773,1111,079,USE2022-55247,Y,2022/12/16 00:00:00+00,Dec 16 2022 12,1-08,1-08,E,12,Greenmount West,1111 079,432 PITMAN PL
1422813.04021613,598226.223090395,1782,1111,085,USE2017-50026,Y,2017/02/27 16:00:01+00,Feb 27 2017  4,SF,SF,E,12,Greenmount West,1111 085,444 PITMAN PL
1422848.83509205,598228.228991896,1785,1111,088,USE2019-53040,Y,2019/06/26 14:31:12+00,Jun 26 2019  2,1-08,1-08,E,12,Greenmount West,1111 088,450 PITMAN PL
1422848.00208847,598303.460468724,1791,1111,095,USE2015-01848,Y,2015/05/29 00:00:00+00,May 29 2015 12,VAC,SF,E,12,Greenmount West,1111 095,445 E LANVALE ST
1422777.76568039,598299.512313887,1800,1111,100,USE2015-01601,Y,2015/07/22 00:00:00+00,Jul 22 2015 12,VAC,SF,E,12,Greenmount West,1111 100,435 E LANVALE ST
1422763.53244114,598298.725898147,1801,1111,101,USE2015-03545,Y,2015/08/31 00:00:00+00,Aug 31 2015 12,VAC,SF,E,12,Greenmount West,1111 101,433 E LANVALE ST
1422735.16045064,598297.11796172,1803,1111,103,USE2017-00763,Y,2017/03/13 13:06:28+00,Mar 13 2017  1,SF,SF,E,12,Greenmount West,1111 103,429 E LANVALE ST
1422721.06992763,598296.329905555,1804,1111,104,USE2019-54356,Y,2019/10/03 16:00:13+00,Oct  3 2019  4,1-08,1-08,E,12,Greenmount West,1111 104,427 E LANVALE ST
1425177.42032988,598416.984847978,1817,1114,043,USE2023-53501,Y,2023/09/19 00:00:00+00,Sep 19 2023 12,1-08,1-08,G,12,Oliver,1114 043,1233 E LANVALE ST
1428299.31861363,599129.902057305,1913,1449,002,BUSE-25-002644,Y,2025/06/29 00:00:00+00,Jun 29 2025 12,Single Family Dwelling,Single Family Dwelling,I,12,Broadway East,1449 002,2002 E LAFAYETTE AVE
1428451.72578914,599138.134324312,1928,1449,014,USE2022-55727,Y,2022/10/26 00:00:00+00,Oct 26 2022 12,1-08,1-08,I,12,Broadway East,1449 014,2026 E LAFAYETTE AVE
1428477.42029156,599139.523101062,1930,1449,016,BUSE-25-005925,Y,2025/12/16 00:00:00+00,Dec 16 2025 12,Single Family Dwelling,Single Family Dwelling,I,12,Broadway East,1449 016,2030 E LAFAYETTE AVE
1428491.04493622,599139.852168649,1931,1449,017,BUSE-25-005758,Y,2025/11/18 00:00:00+00,Nov 18 2025 12,Dwelling: Rowhouse,Dwelling: Rowhouse,I,12,Broadway East,1449 017,2032 E LAFAYETTE AVE
1427763.93976314,583893.653658479,1956,2020,017,USE2016-05285,Y,2016/12/02 10:50:00+00,Dec  2 2016 10,SF,SF,B,11,Locust Point,2020 017,1444 TOWSON ST
1429595.58209722,596181.270487398,1994,1570,032,USE2021-51740,Y,2021/05/13 00:00:00+00,May 13 2021 12,1-08,1-08,J,13,Middle East,1570 032,1024 N PATTERSON PARK AVE
1429596.4190378,596155.531365648,1996,1570,034,USE2020-51622,Y,2020/10/02 00:00:00+00,Oct  2 2020 12,1-08,1-08,J,13,Middle East,1570 034,1020 N PATTERSON PARK AVE
1429597.67133188,596129.726627231,1998,1570,036,USE2022-57065,Y,2023/02/07 00:00:00+00,Feb  7 2023 12,7-03,1-08,J,13,Middle East,1570 036,1016 N PATTERSON PARK AVE
1429598.28681622,596116.69646956,1999,1570,037,USE2021-54492,Y,2021/10/13 00:00:00+00,Oct 13 2021 12,1-08,1-08,J,13,Middle East,1570 037,1014 N PATTERSON PARK AVE
1429598.91706431,596103.586587638,2000,1570,038,USE2023-53291,Y,2024/01/08 00:00:00+00,Jan  8 2024 12,1-08,1-06,J,13,Middle East,1570 038,1012 N PATTERSON PARK AVE
1429600.1828098,596077.460983723,2002,1570,040,USE2023-52548,Y,2023/09/21 00:00:00+00,Sep 21 2023 12,1-08,1-08,J,13,Middle East,1570 040,1008 N PATTERSON PARK AVE
1429600.79927839,596064.481350899,2003,1570,041,USE2022-54249,Y,2022/07/15 00:00:00+00,Jul 15 2022 12,1-08,1-08,J,13,Middle East,1570 041,1006 N PATTERSON PARK AVE
1429601.42985456,596051.499093398,2007,1570,042,USE2015-03584,Y,2016/03/07 00:00:00+00,Mar  7 2016 12,SF,SF,J,13,Middle East,1570 042,1004 N PATTERSON PARK AVE
1429602.09651989,596037.551286638,2008,1570,043,USE2019-55777,Y,2019/12/02 11:37:42+00,Dec  2 2019 11,1-08,1-08,J,13,Middle East,1570 043,1002 N PATTERSON PARK AVE
1429277.94493721,596244.982630312,2011,1570,047,USE2024-53028,Y,2024/10/04 00:00:00+00,Oct  4 2024 12,1-08,1-08,J,13,Middle East,1570 047,2202 PRENTISS PL
1429303.1499393,596246.330068558,2013,1570,049,BUSE-25-003111,Y,2025/08/08 00:00:00+00,Aug  8 2025 12,Dwelling: Rowhouse,Dwelling: Rowhouse,J,13,Middle East,1570 049,2206 PRENTISS PL
1429327.95500781,596247.664711565,2015,1570,051,USE2022-53305,Y,2022/09/28 00:00:00+00,Sep 28 2022 12,1-08,1-08,J,13,Middle East,1570 051,2210 PRENTISS PL
1429352.71840972,596248.986559317,2017,1570,053,USE2023-50007,Y,2023/01/17 00:00:00+00,Jan 17 2023 12,1-08,1-08,J,13,Middle East,1570 053,2214 PRENTISS PL
1429365.09699389,596249.65519315,2018,1570,054,USE2023-50113,Y,2023/01/17 00:00:00+00,Jan 17 2023 12,1-08,1-08,J,13,Middle East,1570 054,2216 PRENTISS PL
1429377.09532946,596250.297908396,2019,1570,055,USE2023-50009,Y,2023/02/15 00:00:00+00,Feb 15 2023 12,1-08,1-08,J,13,Middle East,1570 055,2218 PRENTISS PL
1429389.65042247,596250.971791565,2024,1570,056,USE2023-50010,Y,2023/01/19 00:00:00+00,Jan 19 2023 12,1-08,1-08,J,13,Middle East,1570 056,2220 PRENTISS PL
1429414.48961164,596252.302825645,2026,1570,058,USE2021-55886,Y,2022/03/01 00:00:00+00,Mar  1 2022 12,1-08,1-08,J,13,Middle East,1570 058,2224 PRENTISS PL
1429476.6928993,596255.638776973,2031,1570,063,USE2022-51345,Y,2022/01/28 00:00:00+00,Jan 28 2022 12,7-03,1-08,J,13,Middle East,1570 063,2234 PRENTISS PL
1429501.42546138,596256.961280897,2033,1570,065,BUSE-25-003113,Y,2025/08/13 00:00:00+00,Aug 13 2025 12,Dwelling: Rowhouse,Dwelling: Rowhouse,J,13,Middle East,1570 065,2238 PRENTISS PL
