X,Y,OBJECTID,Block,Lot,PermitNum,VBN,DateIssue,DateIssued,ExistingUse,ProposedUse,HousingMarketTypology2017,Council_District,Neighborhood,BLOCKLOT,Address
1415576.70167047,597203.680516064,33554,0328,040,USE2020-53382,Y,2020/08/31 00:00:00+00,Aug 31 2020 12,1-08,1-08,I,7,Druid Heights,0328 040,537 ROBERT ST
1415650.14804588,597143.24592565,33562,0328,048,USE2019-51656,Y,2019/09/04 12:00:50+00,Sep  4 2019 12,1-08,1-08,I,7,Druid Heights,0328 048,1827 DIVISION ST
1415833.00922872,597071.849742979,33589,0328,069,USE2020-53379,Y,2020/08/14 00:00:00+00,Aug 14 2020 12,1-08,1-08,I,7,Druid Heights,0328 069,524 LAURENS ST
1415842.13978788,597080.68437098,33590,0328,070,USE2020-53378,Y,2020/08/14 00:00:00+00,Aug 14 2020 12,1-08,1-08,I,7,Druid Heights,0328 070,522 LAURENS ST
1426723.52484922,598902.75552997,33604,1109,061,USE2021-55232,Y,2021/12/09 00:00:00+00,Dec  9 2021 12,7-03,1-08,I,12,Oliver,1109 061,1629 E LAFAYETTE AVE
1426684.98129113,598756.992370054,33642,1109,093,USE2020-51110,Y,2020/03/18 00:00:00+00,Mar 18 2020 12,1-08,1-08,I,12,Oliver,1109 093,1709 N BETHEL ST
1422277.67252047,598264.051754892,33665,1110,008,USE2017-52017,Y,2017/08/14 15:00:05+00,Aug 14 2017  3,1-08,1-08,E,12,Greenmount West,1110 008,311 E LANVALE ST
1422292.99532448,598264.895913303,33666,1110,009,USE2016-05288,Y,2016/12/08 09:05:08+00,Dec  8 2016  9,SF,SF,E,12,Greenmount West,1110 009,313 E LANVALE ST
1422307.80205339,598265.729244977,33667,1110,010,USE2016-05286,Y,2016/12/08 09:05:48+00,Dec  8 2016  9,SF,SF,E,12,Greenmount West,1110 010,315 E LANVALE ST
1422323.63732356,598266.610148728,33668,1110,011,USE2015-05666,Y,2016/01/06 00:00:00+00,Jan  6 2016 12,SF,SF,E,12,Greenmount West,1110 011,317 E LANVALE ST
1422385.41803989,598270.075036809,33672,1110,015,USE2018-50857,Y,2018/03/02 14:00:02+00,Mar  2 2018  2,1-08,1-08,E,12,Greenmount West,1110 015,325 E LANVALE ST
1422400.91243146,598270.962174147,33673,1110,016,USE2018-50755,Y,2018/02/14 07:30:00+00,Feb 14 2018  7,1-08,1-08,E,12,Greenmount West,1110 016,327 E LANVALE ST
1422416.22014363,598271.817815483,33674,1110,017,USE2018-50858,Y,2018/03/16 14:00:02+00,Mar 16 2018  2,1-08,1-08,E,12,Greenmount West,1110 017,329 E LANVALE ST
1422430.08986655,598272.690845221,33675,1110,018,USE2016-04248,Y,2016/09/23 09:06:23+00,Sep 23 2016  9,SF,SF,E,12,Greenmount West,1110 018,331 E LANVALE ST
1422395.40916164,598213.189323813,33676,1110,019,USE2019-55422,Y,2019/11/04 11:30:13+00,Nov  4 2019 11,1-08,1-08,E,12,Greenmount West,1110 019,1620 BARCLAY ST
1422397.76151913,598170.732387722,33683,1110,022,BUSE-25-004811,Y,2025/11/03 00:00:00+00,Nov  3 2025 12,Dwelling: Rowhouse,Dwelling: Rowhouse,E,12,Greenmount West,1110 022,1614 BARCLAY ST
1423514.99419281,596617.194156229,33700,1155,082,USE2017-00188,Y,2017/01/18 09:47:04+00,Jan 18 2017  9,VAC,SF,H,12,Johnston Square,1155 082,725 MURA ST
1421803.21808881,596976.923423648,33797,0468,009,USE2016-05297,Y,2016/11/18 14:50:04+00,Nov 18 2016  2,MF,MF,A,12,Mid-Town Belvedere,0468 009,1319 N CALVERT ST
1421829.30957206,597032.419375643,33802,0468,014,USE2019-53915,Y,2019/08/21 13:30:06+00,Aug 21 2019  1,1-08,1-08,A,12,Mid-Town Belvedere,0468 014,207 E MOUNT ROYAL AVE
1416512.27821139,593567.12643747,33829,0469,014,USE2023-54301,Y,2023/09/15 00:00:00+00,Sep 15 2023 12,1-08,1-08,E,11,Upton,0469 014,829 EDMONDSON AVE
1416498.25199272,593564.892846137,33830,0469,015,USE2023-54302,Y,2023/09/15 00:00:00+00,Sep 15 2023 12,1-08,1-08,E,11,Upton,0469 015,831 EDMONDSON AVE
1416464.44070864,593563.90531531,33832,0469,017,USE2015-02781,Y,2015/10/08 00:00:00+00,Oct  8 2015 12,VAC,SF,E,11,Upton,0469 017,835 EDMONDSON AVE
1422120.18661498,598389.607934222,34022,1103,002,USE2016-04376,Y,2018/12/06 08:59:45+00,Dec  6 2018  8,2FD,2FD,E,12,Greenmount West,1103 002,1703 GUILFORD AVE
1422352.80491614,598419.240420893,34073,1103,045,USE2024-54125,Y,2024/08/14 00:00:00+00,Aug 14 2024 12,1-08,1-08,E,12,Greenmount West,1103 045,320 E LANVALE ST
1422335.95521231,598418.295540899,34074,1103,046,USE2018-54454,Y,2018/09/11 12:30:04+00,Sep 11 2018 12,1-08,1-08,E,12,Greenmount West,1103 046,318 E LANVALE ST
1422319.10255572,598417.344755396,34075,1103,047,USE2018-54455,Y,2018/09/14 14:00:04+00,Sep 14 2018  2,1-08,1-08,E,12,Greenmount West,1103 047,316 E LANVALE ST
1422284.74534097,598415.428092554,34077,1103,049,USE2018-54457,Y,2018/10/25 11:00:06+00,Oct 25 2018 11,1-08,1-08,E,12,Greenmount West,1103 049,312 E LANVALE ST
1422268.56787989,598414.690889314,34078,1103,050,USE2019-51773,Y,2019/05/23 08:57:56+00,May 23 2019  8,1-14,1-07,E,12,Greenmount West,1103 050,310 E LANVALE ST
1422217.76351956,598411.487811729,34084,1103,052,USE2015-01155,Y,2015/08/11 00:00:00+00,Aug 11 2015 12,VAC,SF,E,12,Greenmount West,1103 052,306 E LANVALE ST
1422202.18021739,598410.790634647,34085,1103,053,USE2016-03112,Y,2016/08/15 09:09:52+00,Aug 15 2016  9,MF,SF,E,12,Greenmount West,1103 053,304 E LANVALE ST
